Country,Land Area(Km2),Co2-Emissions,CPI,GDP,Population,Latitude,Longitude
Afghanistan,652230.00,8672.00,149.90,19101353833.00,38041754.00,33.94,67.71
Albania,28748.00,4536.00,119.05,15278077447.00,2854191.00,41.15,20.17
Algeria,2381741.00,150006.00,151.36,169988236398.00,43053054.00,28.03,1.66
Andorra,468.00,469.00,,3154057987.00,77142.00,42.51,1.52
Angola,1246700.00,34693.00,261.73,94635415870.00,31825295.00,-11.20,17.87
Antigua and Barbuda,443.00,557.00,113.81,1727759259.00,97118.00,17.06,-61.80
Argentina,2780400.00,201348.00,232.75,449663446954.00,44938712.00,-38.42,-63.62
Armenia,29743.00,5156.00,129.18,13672802158.00,2957731.00,40.07,45.04
Australia,7741220.00,375908.00,119.80,1392680589329.00,25766605.00,-25.27,133.78
Austria,83871.00,61448.00,118.06,446314739528.00,8877067.00,47.52,14.55
Azerbaijan,86600.00,37620.00,156.32,39207000000.00,10023318.00,40.14,47.58
The Bahamas,13880.00,1786.00,116.22,12827000000.00,389482.00,25.03,-77.40
Bahrain,765.00,31694.00,117.59,38574069149.00,1501635.00,26.07,50.56
Bangladesh,148460.00,84246.00,179.68,302571254131.00,167310838.00,23.68,90.36
Barbados,430.00,1276.00,134.09,5209000000.00,287025.00,13.19,-59.54
Belarus,207600.00,58280.00,,63080457023.00,9466856.00,53.71,27.95
Belgium,30528.00,96889.00,117.11,529606710418.00,11484055.00,50.50,4.47
Belize,22966.00,568.00,105.68,1879613600.00,390353.00,17.19,-88.50
Benin,112622.00,6476.00,110.71,14390709095.00,11801151.00,9.31,2.32
Bhutan,38394.00,1261.00,167.18,2446674101.00,727145.00,27.51,90.43
Bolivia,1098581.00,21606.00,148.32,40895322865.00,11513100.00,-16.29,-63.59
Bosnia and Herzegovina,51197.00,21848.00,104.90,20047848435.00,3301000.00,43.92,17.68
Botswana,581730.00,6340.00,149.75,18340510789.00,2346179.00,-22.33,24.68
Brazil,8515770.00,462299.00,167.40,1839758040766.00,212559417.00,-14.24,-51.93
Brunei,5765.00,7664.00,99.03,13469422941.00,433285.00,4.54,114.73
Bulgaria,110879.00,41708.00,114.42,86000000000.00,6975761.00,42.73,25.49
Burkina Faso,274200.00,3418.00,106.58,15745810235.00,20321378.00,12.24,-1.56
Burundi,27830.00,495.00,182.11,3012334882.00,11530580.00,-3.37,29.92
Ivory Coast,322463.00,9674.00,111.61,58792205642.00,25716544.00,7.54,-5.55
Cape Verde,4033.00,543.00,110.50,1981845741.00,483628.00,16.54,-23.04
Cambodia,181035.00,9919.00,127.63,27089389787.00,16486542.00,12.57,104.99
Cameroon,475440.00,8291.00,118.65,38760467033.00,25876380.00,7.37,12.35
Canada,9984670.00,544894.00,116.76,1736425629520.00,36991981.00,56.13,-106.35
Central African Republic,622984.00,297.00,186.86,2220307369.00,4745185.00,6.61,20.94
Chad,1284000.00,1016.00,117.70,11314951343.00,15946876.00,15.45,18.73
Chile,756096.00,85822.00,131.91,282318159745.00,18952038.00,-35.68,-71.54
China,9596960.00,9893038.00,125.08,19910000000000.00,1397715000.00,35.86,104.20
Colombia,1138910.00,97814.00,140.95,323802808108.00,50339443.00,4.57,-74.30
Comoros,2235.00,202.00,103.62,1185728677.00,850886.00,-11.65,43.33
